Subject ID	max(abs(Tx))	max(abs(Ty))	max(abs(Tz))	max(abs(Rx))	max(abs(Ry))	max(abs(Rz))	mean(abs(Tx))	mean(abs(Ty))	mean(abs(Tz))	mean(abs(Rx))	mean(abs(Ry))	mean(abs(Rz))	mean RMS	mean relative RMS (mean FD_VanDijk)	mean FD_Power	Number of FD_Power>0.5	Percent of FD_Power>0.5	Number of FD_Power>0.2	Percent of FD_Power>0.2	mean FD_Jenkinson
S253	1.110579	0.2540163	1.23918	0.5957432	1.10186	0.7136367	0.6660241	0.08122827	0.5503412	0.1700536	0.4938641	0.3635474	0.8976399	0.03064154	0.1547054	3	0.009836066	64	0.2098361	0.07740825
S254	0.1210646	0.3999766	0.2644329	0.5373551	0.5468446	0.4313756	0.0599007	0.1828951	0.05746588	0.2725173	0.3048346	0.2150988	0.2098466	0.05680226	0.2379969	5	0.01639344	192	0.6295082	0.1341899
S255	0.4346431	0.1350533	1.12448	1.641034	0.2048683	0.4066927	0.1862656	0.04372373	0.4821603	0.721585	0.0618201	0.1640529	0.5308803	0.06757312	0.2023088	5	0.01639344	124	0.4065574	0.119269
S5058	0.6426848	0.8564236	0.5410404	0.5326101	1.10157	1.054935	0.2221021	0.5348674	0.2300437	0.3284789	0.6736312	0.5499795	0.653006	0.06246868	0.2986706	38	0.1245902	222	0.7278689	0.1681176
S5059	0.3268703	0.5162764	0.3951183	0.5505596	0.4081622	0.377894	0.160304	0.2813493	0.1806751	0.2692426	0.1347758	0.1866688	0.3793677	0.02275729	0.1475055	0	0	53	0.1737705	0.07858277
S5060	0.1107686	0.2317838	0.7390359	0.2322201	0.1505346	0.08771128	0.030003	0.07541755	0.3383298	0.07280301	0.05496813	0.03884126	0.3515268	0.1379711	0.2969207	41	0.1344262	199	0.652459	0.178756
S5061	0.3926639	0.2798219	0.6690772	0.5094454	0.9697303	0.1955958	0.1445765	0.1586561	0.2203388	0.1672192	0.337987	0.06692205	0.3317553	0.02198743	0.1210397	4	0.01311475	48	0.157377	0.06078947
S5062	1.038787	0.6883212	1.095326	2.160937	1.171285	1.22527	0.3977641	0.250928	0.2995833	0.8734593	0.3821608	0.5011329	0.6381046	0.0623655	0.2878823	26	0.0852459	190	0.6229508	0.1531985
S5064	0.898727	0.4390539	1.089266	0.8933154	1.049141	0.429116	0.2591901	0.2409674	0.2098036	0.2290524	0.5935816	0.1498195	0.4527236	0.07008818	0.334003	31	0.1016393	234	0.7672131	0.1953208
S5065	0.2582514	0.2406269	0.3494997	0.2965532	0.2849544	0.2534881	0.150786	0.1124359	0.1303924	0.1258708	0.1615484	0.1368615	0.2534426	0.07076489	0.2378466	2	0.006557377	193	0.6327869	0.1489451
S5066	0.1492753	0.4902073	1.483947	0.5157148	0.8448832	0.2544782	0.06212424	0.2112232	0.4104553	0.1259929	0.3002351	0.07531707	0.4879302	0.04849807	0.2044221	9	0.0295082	121	0.3967213	0.1151301
S5067	0.1051938	0.4922907	0.7510914	0.6771158	0.9451456	0.3997835	0.03419915	0.2165428	0.2550427	0.2893797	0.3895107	0.1777743	0.3728161	0.07803203	0.1960801	4	0.01311475	128	0.4196721	0.1267383
S5068	0.5719852	0.3593996	0.8368814	0.5353651	1.248157	0.6535507	0.3934443	0.1971221	0.2133122	0.09251483	0.6159909	0.3705146	0.5115442	0.06250138	0.3240756	36	0.1180328	233	0.7639344	0.1854448
S5071	0.2503178	0.5284121	0.6831419	0.7946732	0.4592232	0.6592177	0.05681855	0.2863024	0.1315461	0.1389429	0.1844471	0.1350031	0.3448653	0.05542632	0.1948177	8	0.02622951	124	0.4065574	0.1192317
S5072	0.2303032	0.1050916	0.2981636	1.605052	1.001573	0.2068828	0.06088306	0.04684266	0.1248497	0.8925847	0.4892418	0.05991772	0.15986	0.03002934	0.08723898	0	0	5	0.01639344	0.04445793
S5073	0.1881405	0.3970907	0.1340313	0.4410372	0.3076008	0.4838597	0.1024561	0.2118077	0.05864467	0.1455337	0.1183792	0.2634736	0.2475498	0.03461154	0.1078009	0	0	6	0.01967213	0.05117038
S5074	0.08022783	0.2273686	0.4038375	0.8722325	0.05289657	0.2168825	0.03225437	0.09111347	0.07632437	0.4246801	0.0193524	0.09119136	0.1346986	0.05240167	0.1895393	7	0.02295082	105	0.3442623	0.1190816
S5075	0.3582594	0.3422687	0.6430778	0.3863909	0.5274596	0.4463692	0.1914537	0.1813611	0.2184337	0.1500438	0.2783828	0.317839	0.3573337	0.1011262	0.2882321	9	0.0295082	218	0.7147541	0.1868799
S5076	0.1865309	0.6043088	0.2292911	0.2975812	0.9570362	0.3336168	0.04168082	0.2304784	0.08333605	0.1220126	0.428507	0.08541725	0.2616466	0.04916109	0.1756303	0	0	127	0.4163934	0.09626446
S5077	0.1783782	0.1961015	0.558863	0.4486474	0.2614291	0.07971726	0.0838048	0.1059725	0.269648	0.2757879	0.1115054	0.03528988	0.3109656	0.1005637	0.2071992	0	0	148	0.534296	0.1131538
